timestamp,mode,matrix_name,procs,run_id,time_avg,comm_time,comp_time,gflops,status
20260106_162929,strong,2_kkt.mtx,128,9,3.116911e-02,3.047404e-02,3.371801e-03,0.5217,OK
20260106_162929,strong,2_kkt.mtx,128,10,3.881694e-02,3.824253e-02,3.710675e-03,0.4189,OK
20260106_162929,strong,3_mawi.mtx,1,1,6.882360e-01,2.341067e-01,4.541290e-01,0.3926,OK
20260106_162929,strong,3_mawi.mtx,1,2,6.855500e-01,2.330814e-01,4.524683e-01,0.3942,OK
20260106_162929,strong,3_mawi.mtx,1,3,6.845955e-01,2.320729e-01,4.525223e-01,0.3947,OK
20260106_162929,strong,3_mawi.mtx,1,4,6.834548e-01,2.314871e-01,4.519674e-01,0.3954,OK
20260106_162929,strong,3_mawi.mtx,1,5,9.077340e-01,2.585763e-01,6.491574e-01,0.2977,OK
20260106_162929,strong,3_mawi.mtx,1,6,9.085787e-01,2.605917e-01,6.479866e-01,0.2974,OK
20260106_162929,strong,3_mawi.mtx,1,7,6.906660e-01,2.357809e-01,4.548846e-01,0.3913,OK
20260106_162929,strong,3_mawi.mtx,1,8,6.828633e-01,2.316270e-01,4.512359e-01,0.3957,OK
20260106_162929,strong,3_mawi.mtx,1,9,6.839717e-01,2.318837e-01,4.520877e-01,0.3951,OK
20260106_162929,strong,3_mawi.mtx,1,10,6.835396e-01,2.316741e-01,4.518651e-01,0.3953,OK
20260106_162929,strong,3_mawi.mtx,2,1,6.391057e-01,3.703071e-01,2.781255e-01,0.4228,OK
20260106_162929,strong,3_mawi.mtx,2,2,6.467394e-01,3.762722e-01,2.748920e-01,0.4178,OK
20260106_162929,strong,3_mawi.mtx,2,3,6.386093e-01,4.345174e-01,2.738789e-01,0.4232,OK
20260106_162929,strong,3_mawi.mtx,2,4,6.622334e-01,3.852914e-01,2.813963e-01,0.4081,OK
20260106_162929,strong,3_mawi.mtx,2,5,8.152936e-01,5.367011e-01,3.445954e-01,0.3315,OK
20260106_162929,strong,3_mawi.mtx,2,6,7.389595e-01,4.607340e-01,2.800971e-01,0.3657,OK
20260106_162929,strong,3_mawi.mtx,2,7,7.111087e-01,4.728554e-01,3.190671e-01,0.3800,OK
20260106_162929,strong,3_mawi.mtx,2,8,6.791250e-01,4.156009e-01,2.783606e-01,0.3979,OK
20260106_162929,strong,3_mawi.mtx,2,9,8.294030e-01,5.763529e-01,3.947296e-01,0.3258,OK
20260106_162929,strong,3_mawi.mtx,2,10,8.295260e-01,5.555470e-01,3.519996e-01,0.3258,OK
20260106_162929,strong,3_mawi.mtx,4,1,8.017120e-01,6.994354e-01,2.824660e-01,0.3371,OK
20260106_162929,strong,3_mawi.mtx,4,2,7.973108e-01,6.914465e-01,2.872116e-01,0.3389,OK
